"","nestID","beeID","behav","timepoint","Caste","totCount"
"531","NT02","92","egglaying","late","worker",2
"532","NT02","5","egglaying","late","worker",1
"533","NT03","34","egglaying","late","worker",2
"534","NT04","25","egglaying","late","worker",6
"535","NT05","44","egglaying","late","worker",4
"536","NT05","43","egglaying","late","worker",2
"537","NT05","42","egglaying","late","worker",1
"538","NT06","13","egglaying","late","worker",3
"539","NT12","4","egglaying","late","worker",1
"540","NT13","56","egglaying","late","worker",1
"541","NT15","38","egglaying","late","worker",1
"542","NT16","28","egglaying","late","worker",2
"543","QF02","12","egglaying","late","queen",2
"544","QF03","unmarked","egglaying","late","queen",2
"545","QF04","unmarked","egglaying","late","queen",1
"546","QF06","66","egglaying","late","queen",2
"547","QF07","57","egglaying","late","queen",2
"548","QF09","90","egglaying","late","queen",2
"549","QF10","9","egglaying","late","queen",2
"550","QF11","98","egglaying","late","queen",1
"551","QF12","35","egglaying","late","queen",4
"552","QF14","unmarked","egglaying","late","queen",2
"553","QF15","90","egglaying","late","queen",1
"554","QF16","62","egglaying","late","queen",1
"555","QT01","99","egglaying","late","queen",1
"556","QT02","85","egglaying","late","queen",1
"557","QT03","unmarked queen","egglaying","late","queen",2
"558","QT04","62","egglaying","late","queen",3
"559","QT04","41","egglaying","late","worker",2
"560","QT08","78","egglaying","late","queen",2
"561","QT11","95","egglaying","late","queen",3
"562","QT12","93","egglaying","late","queen",3
"563","QT13","unmarked queen","egglaying","late","queen",4
"564","QT14","97","egglaying","late","queen",1
"565","QT15","66","egglaying","late","worker",1
